ZZG;"                                        ";"ZZG010  ";"Tarefas                       ";"Tasks                         ";"Tareas                        ";"                                        ";C;E;E;0;" ";"                                                                                                                                                                                                                                                          ";" ";0;"                                                                                                                                                                                                                                                              ";"                                                                                                    ";"                                                                                                    ";" ";" ";" ";2;0;0;" ";" ";" ";10633;0
ZZH;"                                        ";"ZZH010  ";"SubTarefas                    ";"Subtasks                      ";"Subtareas                     ";"                                        ";C;E;E;0;" ";"                                                                                                                                                                                                                                                          ";" ";0;"                                                                                                                                                                                                                                                              ";"                                                                                                    ";"                                                                                                    ";" ";" ";" ";2;0;0;" ";" ";" ";10634;0
